zipcode,community
92102,San Diego
92111,San Diego
92104,San Diego
92117,San Diego
92105,San Diego
91915,Chula Vista
91963,Potrero
91913,Chula Vista
91910,Chula Vista
92058,Camp Pendleton
92058,Camp Pendleton
92134,San Diego
91977,Spring Valley
92672,San Clemente
91941,La Mesa
91934,Jacumba
92037,La Jolla
92121,San Diego
92093,La Jolla
91978,Spring Valley
92037,La Jolla
92123,San Diego
92021,El Cajon
92026,Escondido
92027,Escondido
92040,Lakeside
91932,Imperial Beach
92161,San Diego
92139,San Diego
92058,Camp Pendleton
92058,Camp Pendleton
91945,Lemon Grove
92119,San Diego
92110,San Diego
92011,Carlsbad
92024,Encinitas
92014,Del Mar
92091,Rancho Santa Fe
92029,Escondido
92116,San Diego
92135,Coronado
91901,Alpine
92058,Camp Pendleton
92136,San Diego
91962,Pine Valley
92113,San Diego
92086,Warner Springs
92130,San Diego
92071,Santee
91911,Chula Vista
92058,Camp Pendleton
92122,San Diego
92025,Escondido
91902,Bonita
91906,Campo
91942,La Mesa
92019,El Cajon
92057,Oceanside
92058,Camp Pendleton
91917,Dulzura
92004,Borrego Springs
92259,Ocotillo
91948,Mount Laguna
92114,San Diego
92009,Carlsbad
92124,San Diego
92008,Carlsbad
92010,Carlsbad
92155,Coronado
92036,Julian
91935,Jamul
91905,Boulevard
92066,Ranchita
92140,San Diego
92173,San Ysidro
92096,San Marcos
92070,Santa Ysabel
92020,El Cajon
92075,Solana Beach
92103,San Diego
91931,Guatay
91916,Descanso
92182,San Diego
92101,San Diego
91914,Chula Vista
92054,Oceanside
92126,San Diego
92131,San Diego
92128,San Diego
92127,San Diego
92129,San Diego
92067,Rancho Santa Fe
92069,San Marcos
92078,San Marcos
92083,Vista
92081,Vista
92056,Oceanside
92083,Vista
92084,Vista
92003,Bonsall
92082,Valley Center
92028,Fallbrook
92061,Pauma Valley
92106,San Diego
92107,San Diego
92059,Pala
92536,Aguanga
92145,San Diego
91950,National City
92060,Palomar Mountain
92120,San Diego
92118,Coronado
92007,Cardiff by the Sea
92065,Ramona
91980,Tecate
92154,San Diego
92109,San Diego
92115,San Diego
92064,Poway
92108,San Diego
92055,Camp Pendleton
92058,Oceanside
